Page,Title,Authors,Year,Citations,Google Scholar Link
2503,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Gambaran Keikutsertaan Ibu Hamil Dalam Yoga Prenatal di Provinsi Bali: Description Of Pregnant Women's Participation In Prenatal Yoga In Bali Province'
2503,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Pengaruh Loloh Piduh (Centella asiatica L.) Menurut lontar Usada Bali Taruna Pramana Sebagai Antiinflamasi Pasca Persalinan Ibu Nifas di Desa Antiga Bali: The Effect of Loloh …'
2503,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Perilaku Cuci Tangan Masyarakat Desa Adat Ditinjau Dari Tradisi Ngayah Banjar Di Tabanan Bali'
2503,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Perbedaan Pengetahuan Remaja Putri Tentang Perilaku Seks Pranikah Yang Diberikan Pendidikan Kesehatan Dengan Media Video Dan Lembar Balik Di Posyandu Remaja Desa Tibubeneng …'
2503,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Efektivitas Prenatal Yoga Berbasis Audio Visual Untuk Mencegah Hipertensi Pada Kehamilan Di Kota Denpasar'
2503,N/A,N/A,N/A,0,"https://scholar.google.com/scholar?q=+intitle:'Prevalence, Risk Factors, and Quality of Life of Knee Osteoarthritis in Urban Community in Indonesia: A COPCORD Study'"
2503,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'HUBUNGAN PENGETAHUAN IBU HAMIL DENGAN KECEMASAN DALAM MENGHADAPI PERSALINAN SAAT PANDEMI COVID-19'
2503,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Survey Kesadaran dan Akses Informasi Tentang Kesehatan Mental Pada Remaja di Wilayah Kerja UPTD Puskesmas III Denpasar Utara'
2503,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Application of the Hot-Fit Method in Evaluation of the Use of ePuskesmas at Community Health Care I South Denpasar'
2503,N/A,N/A,N/A,0,"https://scholar.google.com/scholar?q=+intitle:'Analysis of Digital Literacy Sources to Identify The Relationship Between Population Income, Socio-Economic and Subjective Well-Being'"
2506,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'GAMBARAN PENGETAHUAN IBU TENTANG GIZI PADA BALITA DI WILAYAH KERJA PUSKESMAS JATIBARU KOTA BIMA TAHUN 2024'
2506,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'EDUKASI CEGAH ANEMIA PADA IBU HAMIL DI WILAYAH JATIBARU BARAT KOTA BIMA'
2506,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'HUBUNGAN KONSELING KB DENGAN PENGAMBILAN KEPUTUSAN PASANGAN USIA SUBUR DALAM MENGGUNAKAN ALAT KONTRASEPSI DI WILAYAH KERJA PUSKESMAS PENANA’E KOTA BIMA TAHUN 2024'
2506,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'PREVALENSI FAKTOR PENYEBAB STUNTING PADA BALITA USIA 1-5 TAHUN DI WILAYAH KERJA PUSKESMAS MPUNDA TAHUN 2024'
2506,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'KETEPATAN KUNJUNGAN ANTENATAL CARE (ANC) IBU HAMIL PADA MASA PANDEMI COVID-19 DI KOTA BIMA TAHUN 2023'
2506,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'GAMBARAN FAKTOR PREDISPOSISI KEJADIAN PRE-EKLAMPSIA PADA IBU HAMIL DI WILAYAH KERJA PUSKESMAS PENANA’E KOTA BIMA TAHUN 2024'
2506,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'PENYULUHAN PENTINGNYA GIZI PADA BALITA DAN PEMBAGIAN MAKANAN TAMBAHAN DI KELURAHAN KUMBE KOTA BIMA'
2506,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Analisis Determinan Sosial Terhadap Pemberian ASI Eksklusif pada Bayi Usia 6-11 Bulan'
2506,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Kesadaran Akan Bahaya Narkoba Pada Kelompok Pelajar Dan Mahasiswa Melalui Kegiatan Pembinaan'
2506,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Hubungan Pengetahuan dan Sikap Tentang 4 Pilar Gizi Seimbang Dengan Status Gizi'
2510,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'UJI KENDALI MUTU KUALITAS CITRA PESAWAT CT SCAN MULTISLICE UNITED IMAGING HEALTHCARE DI UNIT RADIOLOGI RUMAH SAKIT BALIMED BULELENG'
2510,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'UJI KESESUAIAN PESAWAT CT SCAN MULTISLICE GE HEALTHCARE DI UNIT RADIOLOGI RUMAH SAKIT UMUM KERTHA USADA'
2510,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Analisa Quality Assurance (QA) Daily Pada Pesawat Linac Di Instalasi Onkologi Radiasi RSUP Persahabatan'
2510,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Terapi Radiasi Eksternal dengan Metode Hypofractionated pada Kanker payudara Post Breast Conserving Surgery di Instalasi Onkologi Radiasi Rumah Sakit Indriati Solo Baru: Studi …'
2510,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Hubungan Jenis Kelamin dan Riwayat Merokok Terhadap Kasus Tumor Paru Berdasarkan Hasil CT Scan'
2510,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Analisis Pemeriksaan CT Scan Urografi pada Klinis Hidronefrosis di RS Tk Ii Pelamonia Makassar'
2510,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Analisis Nilai Dosis Efektif Pada Pemeriksaan MSCT Kepala Non Kontras Di Rumah Sakit Prima Medika Denpasar'
2510,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'INFORMASI CITRA MRI KNEE JOINT KASUS RUPTURE ACL SEKUEN PD FATSAT DAN DIXON'
2510,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Prosedur Pemeriksaan MRI Brain pada Kasus Trigeminal Neuralgia di Instalasi Radiologi RSUD Provinsi NTB'
